row,col,sku,quantity
0,0,7612345098,10
0,0,9876543210,20
0,0,2352389572,6
0,0,6432198756,1
0,1,2345678901,20
0,1,8901234567,20
0,1,6789012345,27
0,4,6432198756,50
1,1,2352389572,60
1,2,6432198756,100
1,3,4567891234,75
1,5,2352389572,90
1,6,1098234567,90
1,7,3456789012,20
2,2,7612345098,90
2,3,8761298345,90
2,4,6789012345,90
2,5,9876543210,80
2,6,8901234567,90
2,7,8761298345,60
3,1,3289765410,70
3,3,1098234567,75
3,4,2345678901,100
3,6,6432198756,100
3,7,4567891234,60
4,1,7890123456,35
4,2,5432109876,90
4,4,3289765410,70
4,5,1234567890,30

row,col,capacity,products
0,0,5,"WDG001:50;GZM002:30"
1,1,5,"THM003:100;DHI004:20"
2,2,5,"GDT005:25;CNT006:15"
3,3,5,"APT007:40;TL008:35"
4,4,5,"ACC009:10;IMP010:45"
2,4,5,"UTL011:20"
3,1,5,"DEV012:30"
1,4,5,"EQT013:25"
4,2,5,"FIX014:5"
